#,Company,Symbol,Weight,Price,Chg,% Chg
259,PG&E Corporation,PCG,0.06%,15.63,-0.3,1.91
260,Old Dominion,ODFL,0.06%,160.88,1.19,0.75
261,Dexcom,DXCM,0.06%,86.16,0.42,0.49
262,EQT Corporation,EQT,0.06%,56.16,0.83,1.5
263,Ingersoll Rand,IR,0.06%,83.28,1.41,1.72
264,WEC Energy Group,WEC,0.06%,104.95,0.16,0.15
265,Live Nation Entertainment,LYV,0.06%,144.14,0.11,0.08
266,Equifax,EFX,0.06%,268.57,2.37,0.89
267,Monolithic Power Systems,MPWR,0.06%,696.18,15.12,2.22
268,CoStar Group,CSGP,0.06%,78.74,0.54,0.69
269,Martin Marietta Materials,MLM,0.06%,550.55,0.51,0.09
270,Vici Properties,VICI,0.06%,31.36,-0.09,0.29
271,Lululemon Athletica,LULU,0.06%,264.19,-66.59,20.13
272,Delta Air Lines,DAL,0.06%,50.36,1.52,3.11
273,Agilent Technologies,A,0.06%,115.61,1.67,1.46
274,Carnival,CCL,0.06%,24.23,0.21,0.85
275,GE HealthCare,GEHC,0.06%,71.42,-0.13,0.18
276,Hershey Company (The),HSY,0.06%,161.36,-1.42,0.87
277,Gartner,IT,0.06%,420.38,-0.88,0.21
278,Extra Space Storage,EXR,0.06%,149.42,-0.01,0.0
279,Brown & Brown,BRO,0.06%,110.53,0.5,0.46
280,Kraft Heinz,KHC,0.06%,26.65,0.02,0.09
281,Xylem Inc.,XYL,0.06%,126.68,0.02,0.01
282,Constellation Brands,STZ,0.06%,171.74,1.14,0.67
283,Willis Towers Watson,WTW,0.06%,308.03,0.36,0.12
284,Iron Mountain,IRM,0.06%,103.48,2.2,2.17
285,NRG Energy,NRG,0.06%,155.7,-0.33,0.21
286,Ansys,ANSS,0.06%,341.21,2.85,0.84
287,General Mills,GIS,0.06%,54.58,0.03,0.05
288,Raymond James Financial,RJF,0.05%,145.57,2.16,1.51
289,M&T Bank,MTB,0.05%,182.88,2.97,1.65
290,AvalonBay Communities,AVB,0.05%,202.78,-0.19,0.09
291,Broadridge Financial Solutions,BR,0.05%,245.58,0.69,0.28
292,Lennar,LEN,0.05%,109.3,-0.76,0.69
293,Las Vegas Sands,LVS,0.05%,40.47,0.21,0.53
294,Ventas,VTR,0.05%,63.24,-0.06,0.1
295,Kellanova,K,0.05%,82.05,-0.11,0.13
296,DuPont,DD,0.05%,68.0,0.59,0.87
297,Nucor,NUE,0.05%,122.9,4.15,3.49
298,W. R. Berkley Corporation,WRB,0.05%,74.07,0.2,0.28
299,State Street Corporation,STT,0.05%,98.24,1.76,1.83
300,"Rollins, Inc.",ROL,0.05%,57.72,-0.11,0.19
301,Keysight Technologies,KEYS,0.05%,162.06,2.22,1.39
302,Expand Energy,EXE,0.05%,117.15,1.58,1.36
303,DTE Energy,DTE,0.05%,133.28,0.58,0.44
304,Humana,HUM,0.05%,228.22,1.06,0.47
305,Seagate Technology,STX,0.05%,128.67,0.97,0.76
306,American Water Works,AWK,0.05%,139.82,-0.21,0.15
307,Centene Corporation,CNC,0.05%,54.69,-0.15,0.28
308,United Airlines Holdings,UAL,0.05%,82.91,2.56,3.19
309,Tractor Supply,TSCO,0.05%,50.82,-0.63,1.23
310,Verisign,VRSN,0.05%,282.45,4.56,1.64
311,IQVIA,IQV,0.05%,151.52,4.15,2.82
312,Fifth Third Bancorp,FITB,0.05%,39.06,0.76,1.99
313,Texas Pacific Land Corporation,TPL,0.05%,1132.35,39.29,3.59
314,Equity Residential,EQR,0.05%,68.35,-0.11,0.16
315,Ameren,AEE,0.05%,95.71,-0.31,0.32
316,GoDaddy,GDDY,0.05%,181.14,0.75,0.42
317,PPG Industries,PPG,0.05%,112.93,1.66,1.5
318,Darden Restaurants,DRI,0.05%,216.77,1.71,0.8
319,International Paper,IP,0.05%,47.58,0.48,1.02
320,PPL Corporation,PPL,0.05%,33.92,-0.19,0.54
321,Supermicro,SMCI,0.05%,41.93,1.16,2.84
322,Tyler Technologies,TYL,0.05%,578.89,5.1,0.89
323,Fortive,FTV,0.05%,72.99,1.22,1.71
324,Veralto,VLTO,0.05%,100.01,0.34,0.34
325,Dollar General,DG,0.05%,112.57,-1.27,1.11
326,Mettler Toledo,MTD,0.05%,1189.12,24.51,2.1
